X [s],Avanti sensor 5: EMG 5 [V],X [s],Avanti sensor 5: ACC.X 5 [g],X [s],Avanti sensor 5: ACC.Y 5 [g],X [s],Avanti sensor 5: ACC.Z 5 [g],X [s],Avanti sensor 6: EMG 6 [V],X [s],Avanti sensor 6: ACC.X 6 [g],X [s],Avanti sensor 6: ACC.Y 6 [g],X [s],Avanti sensor 6: ACC.Z 6 [g],X [s],Avanti sensor 7: EMG 7 [V],X [s],Avanti sensor 7: ACC.X 7 [g],X [s],Avanti sensor 7: ACC.Y 7 [g],X [s],Avanti sensor 7: ACC.Z 7 [g],X [s],Avanti sensor 8: EMG 8 [V],X [s],Avanti sensor 8: ACC.X 8 [g],X [s],Avanti sensor 8: ACC.Y 8 [g],X [s],Avanti sensor 8: ACC.Z 8 [g]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000519231,0,0.00675,0,0.00675,0,0.00675,0,0.000519231,0,0.00675,0,0.00675,0,0.00675,0,0.000519231,0,0.00675,0,0.00675,0,0.00675,0,0.000519231,0,0.00675,0,0.00675,0,0.00675,0
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0
0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0
0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0
0.003115385,0,0.0405,0,0.0405,0,0.0405,0,0.003115385,0,0.0405,0,0.0405,0,0.0405,0,0.003115385,0,0.0405,0,0.0405,0,0.0405,0,0.003115385,0,0.0405,0,0.0405,0,0.0405,0
0.003634615,0,0.04725,0,0.04725,0,0.04725,0,0.003634615,0,0.04725,0,0.04725,0,0.04725,0,0.003634615,0,0.04725,0,0.04725,0,0.04725,0,0.003634615,0,0.04725,0,0.04725,0,0.04725,0
0.004153846,0,0.054,0,0.054,0,0.054,0,0.004153846,0,0.054,0,0.054,0,0.054,0,0.004153846,0,0.054,0,0.054,0,0.054,0,0.004153846,0,0.054,0,0.054,0,0.054,0
0.004673077,0,0.06075,0,0.06075,0,0.06075,0,0.004673077,0,0.06075,0,0.06075,0,0.06075,0,0.004673077,0,0.06075,0,0.06075,0,0.06075,0,0.004673077,0,0.06075,0,0.06075,0,0.06075,0
0.005192308,0,0.0675,0,0.0675,0,0.0675,0,0.005192308,0,0.0675,0,0.0675,0,0.0675,0,0.005192308,0,0.0675,0,0.0675,0,0.0675,0,0.005192308,0,0.0675,0,0.0675,0,0.0675,0
0.005711538,0,0.07425,0,0.07425,0,0.07425,0,0.005711538,0,0.07425,0,0.07425,0,0.07425,0,0.005711538,0,0.07425,0,0.07425,0,0.07425,0,0.005711538,0,0.07425,0,0.07425,0,0.07425,0
0.006230769,0,0.081,0,0.081,0,0.081,0,0.006230769,0,0.081,0,0.081,0,0.081,0,0.006230769,0,0.081,0,0.081,0,0.081,0,0.006230769,0,0.081,0,0.081,0,0.081,0
