epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2428.34,1.0905,1.50158,0.01299,0.43396,0.39908,0.36833,0.1673,2.01384,2.10481,0.0247,0.000662526,0.000662526,0.000662526
2,4855.02,1.10907,0.60458,0.01349,0.4469,0.26606,0.28134,0.11054,2.18652,2.57386,0.02893,0.00130287,0.00130287,0.00130287
3,7292.76,1.11901,0.56658,0.01375,0.34899,0.34404,0.25773,0.11543,2.04165,2.79468,0.02628,0.00191682,0.00191682,0.00191682
4,9688.96,1.08838,0.5372,0.01324,0.7463,0.46789,0.54679,0.3116,1.64532,1.812,0.01941,0.0018812,0.0018812,0.0018812
5,12089,1.03455,0.4849,0.01248,0.68062,0.61586,0.67555,0.39198,1.44573,1.3526,0.0166,0.0018416,0.0018416,0.0018416
6,14482.3,1.00305,0.47408,0.01184,0.58453,0.54128,0.606,0.35113,1.6822,1.52944,0.01933,0.001802,0.001802,0.001802
7,16903,0.97084,0.43192,0.0116,0.68385,0.65486,0.73205,0.35944,1.76374,1.24317,0.02233,0.0017624,0.0017624,0.0017624
8,19316.9,0.94758,0.42439,0.01119,0.71478,0.63303,0.70373,0.43853,1.47781,1.18846,0.01571,0.0017228,0.0017228,0.0017228
9,21709.7,0.94176,0.41701,0.01122,0.74247,0.76706,0.83458,0.53691,1.38736,1.64931,0.01479,0.0016832,0.0016832,0.0016832
10,24121.4,0.92559,0.40298,0.01096,0.82247,0.87132,0.89822,0.56589,1.40004,0.59228,0.01528,0.0016436,0.0016436,0.0016436
11,26504.5,0.88432,0.39521,0.01022,0.71702,0.44167,0.63492,0.37675,1.63195,1.87731,0.01964,0.001604,0.001604,0.001604
12,28884.2,0.88521,0.39061,0.01064,0.81607,0.36634,0.62866,0.40874,1.54489,2.27509,0.01764,0.0015644,0.0015644,0.0015644
13,31280.9,0.88072,0.3724,0.01035,0.77016,0.74771,0.81713,0.50532,1.3529,0.98754,0.01585,0.0015248,0.0015248,0.0015248
14,33666.6,0.84655,0.36328,0.00985,0.83879,0.60092,0.79392,0.55904,1.20082,1.57278,0.01332,0.0014852,0.0014852,0.0014852
15,36236.9,0.83023,0.35659,0.0097,0.51111,0.48624,0.46559,0.28758,1.44296,1.70329,0.01583,0.0014456,0.0014456,0.0014456
16,38795.1,0.81269,0.35472,0.00938,0.86258,0.66224,0.87265,0.57248,1.39531,1.30724,0.01518,0.001406,0.001406,0.001406
